Key,Context,Example,Source,de,es,fr,ja,ko,pt,zh-hans,zh-hant
CrystalDaemon,,,Crystal Demon,Kristalldämon,Crystal Demon,Démon de cristal,クリスタルデーモン,크리스탈 데몬,Demônio de Cristal,水晶恶魔,水晶惡魔
SpawnDaemon,,,Crystal Portal,Kristallportal,Crystal Portal,Portail de cristal,クリスタルポータル,크리스탈 포탈,Portal de Cristal,水晶门,水晶召喚門
Curse Wisp,,,Curse Wisp,Zauber-Irrlicht,,Malédiction,,저주의 정령,,诅咒精灵,詛咒精靈
Cyclops,,,Cyclops,Zyklop,Cyclops,Cyclope,サイクロプス,외눈박이,Ciclope,独眼巨人,獨眼巨人
SpawnCyclops,,,Cyclops Prison,Zyklopengefängnis,Cyclops Prison,Prison de cyclope,サイクロプスの牢屋,외눈박이 감옥,Prisão de Ciclope,独眼巨人监狱,獨眼巨人牢籠
KillsCyclopsSuper,,,Cyclops Queen Kills,Zyklopenkönigin-Kills,Cyclops Queen Kills,Victimes reine des cyclopes,倒したサイクロプスクイーン,잡은 외눈박이 여왕,Mortes da Rainha Ciclope,独眼女皇猎杀数,獨眼巨人女王擊殺數
,,,DP,,,,,,,,
Daily Award,,,Daily Award,Tägliche Auszeichnung,Daily Award,Récompense quotidienne,デイリーアワード,일일 보상,Prêmio Diário,日常奖励,每日獎勵
HoodClothDark,,,Dark Cloth Hood,Dunkle Stoffhaube,,Capuche foncée,,어두운 색 천 후드,,黑袍帽子,黑暗頭套
ClothRobeDarkLegs,,,Dark Robe Legs,Dunkle Robe - Beine,,Robe foncée (bas),,어두운 색 다리 의상,,黑袍护腿,黑暗袍護腿
ClothRobeDarkTorso,,,Dark Robe Torso,Dunkle Robe - Oberkörper,,Robe foncée (haut),,어두운 색 몸통 의상,,黑袍上半身,黑暗袍上半身
BowDarkage,,,Darkage Ninja Bow,Mittelalter-Ninjabogen,Darkage Ninja Bow,Arc ninja ténébreux,暗黒のニンジャの弓矢,암흑시대 닌자 활,Arco Ninja da Era das Trevas,忍者弓,黑暗時代忍者弓
DeepestFloor,,Deepest floor visited: 7,Deepest floor visited: {1},Tiefste besuchte Ebene: {1},Deepest floor visited: {1},Niveau le plus bas visité: {1},たどり着いたダンジョンの奥: {1},도달한 가장 깊은 층: {1},O Mais Fundo Andar Visitado: {1},已探索的最深层：{1},所達最深關卡：{1}
,,as in 'default weapon skin',Default,Standard,Por Omisión,Par défaut,デフォルト,기본,Padrão,默认,預設
Deity,,player rank,Deity,Gottheit,Deity,Divinité,ゴッド,신,Divindade,真神,神
DeleteThing,,Delete Level 5 Warrior,Delete {1}?,{1} löschen?,Delete {1}?,Supprimer {1}?,{1}を消しますか？,{1}을(를) 삭제할까요?,Deletar {1}?,删除{1}？,要刪除{1}嗎？
Demigod,,player rank,Demigod,Halbgott,Demigod,Demi-dieu,デミゴッド,반신반인,Semideus,半神,半神
CrystalDaemonSuper,,,Demon Lord Winter,Dämonenlord von Winter,,Démon Lord Winter,,겨울 군주 데몬,,寒冰霸主,寒冰霸主
Demon King Winter,,,Demon Lord Winter,Dämonenlord von Winter,,Démon Lord Winter,,겨울 군주 데몬,,寒冰霸主,寒冰霸主
DevPlace,,Debug only,Dev Place,Dev-Ort,,,,Dev Place,Lugar de Desenvolvedores,开发者地点,Dev Place
TutorialStore,,,"Different Blueprints are available on different floors, but if you *own* Blueprints you can build them almost anywhere. You can get Blueprints from buying Crates in the store.
","Du kannst nur etwas bauen, wenn es auf der Ebene verfügbar ist ... oder wenn du den entsprechenden Entwurf hast! Entwürfe erhältst du, wenn du im Shop Kisten kaufst.
","You can only build something if it's available on the floor...or if you have its Blueprint! You can get Blueprints from buying Crates in the store.
","Tu ne peux construire un élément que si celui-ci est disponible dans ce niveau... ou si tu as son plan! Obtiens des plans en achetant des coffres dans la boutique.
",,"층에서 허용되거나 설계도를 갖고 있는 것만 제작할 수 있습니다... 상점에서 궤짝을 구매하면 설계도를 얻을 수 있습니다.
",Você pode apenas construir se estievr disponível no andar... ou se voce tem seu Diagrama! Você consegue diagramas comprando Caixas na loja.,"你可以建造该层允许建造的建筑或你所拥有图纸上的建筑！你可以通过在商店中购买箱子获得图纸
","只能建造可於關卡中使用的項目... 或是你擁有其設計圖的項目！你可以在商店購買「木箱」來取得設計圖。
"
fireDescription,,Does 50% fire damage for 2.10 seconds,Does {amount:int}% fire damage for {duration:fixed} seconds,Bewirkt für {duration:fixed} Sek. {amount:int} % Feuerschaden,Does {amount:int}% fire damage for {duration:fixed} seconds,Fait {amount:int} % de dégâts de feu pendant {duration:fixed} secondes,{duration:fixed}秒の間、{amount:int}%のファイアーダメージが続く,{duration:fixed}초 동안 {amount:int}% 화염 공격,Causa {amount:int}% dano de fogo por {duration:fixed} segundos,在{duration:fixed}秒内造成{amount:int}%火焰伤害 ,造成 {amount:int}% 火焰傷害，持續{duration:fixed} 秒
radiantDescription,,Does 50% more damage to Dark creatures,Does {amount:int}% more damage to Dark creatures,Bewirkt {amount:int} % mehr Schaden bei Dunkelkreaturen,Does {amount:int}% more damage to Dark creatures,Fait {amount:int} % de dégâts en plus sur les créatures des ténèbres,闇の生き物に対して、ダメージが{amount:int}%増える,어둠 종족에 공격력 {amount:int}% 추가,Causa {amount:int}% mais dano para creaturas Escuras,对黑暗属性生物造成额外{amount:int}%伤害,對黑暗生物造成 {amount:int}% 額外傷害
,,"done reading, ok",Done,Erledigt,Done,Terminé,完了,완료,Feito,已完成,完成
Door,,,Door,Tür,,Porte,,문,Porta,门,門
,,,Doors,,,,,,,,
,,,DownALevel,,,,,,,,
,,,Dragon Home,,,,,,,,
SpawnDragon,,,Dragon Lair,Drachenversteck,Dragon Lair,Tanière de dragon,ドラゴンの巣,용의 동굴,Lar do Dragão,龙穴,魔龍巢穴
,,,DropLoot,,,,,,,,
PitTrapSpikedDescription,,,Drops the heroes into a hole filled with spikes. Ouch,Lässt die Helden in eine Stachelgrube fallen. Autsch,Drops the heroes into a hole filled with spikes. Ouch,Fait tomber les héros dans une fosse pleine de piques. Aïe!,トゲの生えた穴に、ヒーローを落とします。いてて。,대못으로 가득찬 구멍으로 영웅을 빠트립니다. 아야,Joga os Heróis em um buraco cheio de espinhos. ouch!,将英雄扔进插满长矛的深坑。想想都疼,讓英雄掉進布滿尖刺的洞裡。一定很痛
PitTrapDescription,,,"Drops the heroes into a hole. They're tough, it won't hurt them, but maybe then you can fill them with arrows","Lässt die Helden in ein Loch fallen. Das wird denen nicht wehtun, die sind hart im Nehmen. Vielleicht aber ein guter Zeitpunkt für einen Pfeilhagel","Drops the heroes into a hole. They're tough, it won't hurt them, but maybe then you can fill them with arrows","Fait tomber les héros dans un trou. Ils sont costauds, ça ne leur fera rien, mais tu pourras leur balancer des flèches.",穴にヒーローを落とします。ヒーローは丈夫なので、そんなにダメージはありませんが、弓矢で連続攻撃するチャンスかも,영웅을 구멍에 빠트립니다. 다치지는 않아요. 하지만 구멍에 화살을 쏜다면 어떨까요,"Joga os Heróis num buraco. Eles são fortes, não vai machuca-los, mas você poderá encher-los de flechas",将英雄扔进坑中。他们皮糙肉厚，这肯定伤不到他们，不过或许你可以给他们补上几箭。,讓英雄掉進洞裡。他們很強壯，這沒辦法對他們造成傷害，不過你可以再補個幾箭
Dual Daggers,,,Dual Daggers,Doppeldolche,Dual Daggers,Deux dagues,デュアルダガー,쌍날 단도,Adagas Duplas,双持匕首,雙匕首
SkinTypeClaws,,,Dual Weapon,Doppelwaffe,Dual Weapon,Arme deux mains,デュアルウェポン,양날 무기,Arma Dupla,双手武器,雙手武器
IntroMessage,PlayerGui.MessageGuiConfiguration.IntroMessage.Main.Message,,"Dungeon Life News:

Cross-teaming isn't cool. If you're on a server where even just one person wants to play the game as intended, do not help the heroes when you're a monster. You could be banned!","Dungeon Life News:

Cross-teaming-Rollenwechsel sind nicht cool. Wenn du auf einem Server bist, auf dem wenigstens eine Person das Spiel wie gedacht spielen möchte, solltest du nicht den Helden helfen, wenn du ein Monster bist. Du könntest gesperrt werden!","Dungeon Life News:

Cross-teaming isn't cool. If you're on a server where even just one person wants to play the game as intended, do not help the heroes when you're a monster. You could be banned!","Nouveautés Dungeon Life:

trahir ton équipe, c'est pas cool. Si tu es sur un serveur où seule une personne joue au jeu selon les règles, n'aide pas les héros si tu es un monstre. Tu pourrais être banni!","Dungeon Lifeからのお知らせ:

ヒーローはヒーロー、モンスターはモンスター同士で助け合うのがルールです。もし、あなたがモンスターの時、自分の思い通りにゲームを進めたいヒーローが1人でもいたら、そんな人には協力しないでください。あなたまでゲームから追い出されてしまいます！","Dungeon Life 뉴스:

적끼리 팀을 맺지 마세요. 서버에 게임을 즐기고 싶어하는 사람이 한 명이라도 있다면 규칙을 따르세요. 몬스터는 영웅을 도우면 안 됩니다. 이를 어기면 이용이 금지될 수 있습니다!","Dungeon Life News:

Cross-teaming isn't cool. If you're on a server where even just one person wants to play the game as intended, do not help the heroes when you're a monster. You could be banned!","《Dungeon Life》新闻：

交叉组队可没意思！即便服务器中只有哪怕一人想要这么玩，当你是怪物时也请不要帮助英雄，否则你的账号可能会被封禁！","《Dungeon Life》快報：

當雙面間諜一點都不帥。就算你所在的伺服器中只有一個人想進行遊戲，擔任怪物時也千萬不要幫助英雄，否則有可能遭到停權！"
DungeonLord,,,Dungeon Lord,Dungeon Lord,Dungeon Lord,Seigneur de donjon,ダンジョンマスター,던전 군주,Lorde da Dungeon,地下城领主,地城領主
,,Dungeon Points: 200,Dungeon Points: {1:int},Dungeon-Punkte: {1:int},Dungeon Points: {1:int},Points de donjon: {1:int},ダンジョンポイント: {1:int},던전 포인트: {1:int},Pontos Dungeon: {1:int},地下城积分：{1:int},地城點數：{1:int}
MsgWelcomeMonster,,,During Preparation monsters can build stuff in the dungeon before the heroes arrive!,"Du kannst im Dungeon Sachen bauen, bevor die Helden eintreffen!",You can build stuff in the dungeon before the heroes arrive!,Tu peux construire des éléments du donjon avant l'arrivée des héros!,,영웅이 도착하기 전에 던전에 뭔가 제작하세요!,Você pode construir coisas no calabouço antes que os heróis cheguem!,在英雄到来之前，你可以在地下城进行建造！,在英雄出現前，你可以在地城中進行建造！
dexAdjectiveFP4,,female plural,Eagle Eye,Adleräugige,Eagle Eye,d'œil d'aigle,イーグルアイ,독수리의 눈,Olho de Águia,鹰眼,鷹眼
dexAdjectiveFS4,,female singular,Eagle Eye,Adleräugiger,Eagle Eye,Œil d'aigle,,독수리의 눈,Olho de Águia,鹰眼,鷹眼
BlueprintEarn,,Earn 10,Earn {1:int},{1:int} verdienen,Earn {1:int},Gagne {1:int},,{1:int} 획득,Ganha {1:int},获得{1:int},可獲得 {1:int} 張
SwordKatana,,,Eastland Sword,Ostlandschwert,Eastland Sword,Épée orientale,刀,이스트랜드 검,Espada de Eastland,武士刀,東洋劍
Empty,,treasure chest empty,Empty,Leer,Vacío,Vide,空っぽ,비어있음,Vázio,空的,空
,,,Enter Code:,Code eingeben:,Enter Code:,Saisir code:,コードを入力:,코드 입력:,Inserir Código:,输入兑换码：,輸入代碼：
,PlayerGui.NoResetGui.FeedbackPanel.Main.Message,,Enter your feedback here!,Gib hier dein Feedback ein!,Enter your feedback here!,Saisis ton avis ici!,感想を書いてね！,여기에 피드백을 입력하세요!,Coloque seu feedback aqui!,在此输入你的反馈！,請在此填寫你的意見反應！
Rarity4,,,Epic,Episch,Épico,Épique,エピック,영웅,Épico,史诗,史詩
TrapDoors,,,Exit trap door,Falltür-Ausgang,Exit trap door,Trappe de sortie,トラップつきの出口,바닥 문 나가기,Alçapão de Saída,从天窗出去,離開暗門
,,button gives you the option to expand your number of inventory slots,Expand,Erweitern,Expand,Agrandir,大きくする,확장,Expandir,扩展,擴充
Expert,,player rank,Expert,Experte,Expert,Expert,エキスパート,전문가,Perito,专家,專家
TrappedChestDescription,,,"Explodes when a hero opens it

Take that, 'hero!'","Explodiert beim Öffnen durch einen Helden

Nimm das, du „Held“!","Explodes when a hero opens it

Take that, 'hero!'","Explose quand un héros l'ouvre.

Prends ça, héros!","ヒーローが開けると爆発します。

くらえー！","영웅이 열면 폭발합니다

받아라, '영웅아!'","Explode quando um Herói abre

Tome isso, 'Herói!'","当英雄打开它时会发生爆炸

看看我的厉害，“英雄！”","英雄打開它就會爆炸。

「英雄」，受死吧！"
explosiveAdjectiveFP2,,female plural,Exploding,Explodierende,Exploding,explosives,爆発する,폭발하는,Explosivas,爆炸,爆炸
explosiveAdjectiveFS2,,female singular,Exploding,Explodierender,Exploding,explosif,,폭발하는,Explosivo,爆炸,爆炸
Fence,,,Fence,Zaun,Valla,Clôture,フェンス,울타리,Cerca,栅栏,柵欄
MsgWelcomeHero,,,Find the trapdoors leading downstairs and smash your way through to escape...before the monsters get too strong!,"Finde die Falltüren, die nach unten führen, und zerschmettere sie, um zu entkommen ... bevor die Monster zu stark werden!",Find the trapdoors leading downstairs and smash your way through to escape...before the monsters get too strong!,Trouve les trappes qui mènent au niveau inférieur et fuis... avant que les monstres ne soient trop forts!,トラップドアを見つけて、下のフロアへ行こう。モンスターが力をつける前に、どんどん進むんだ！,아래층으로 향하는 바닥 문을 찾아 부순 뒤 탈출하세요... 몬스터가 강력해지기 전에 서두르세요!,Encontre os alçapões descendo nos andares de baixo e destrua-o para escapar... antes que os monstros fiquem muito fortes!,趁着怪物们还没变得太过强大，找到通往下层的天窗并杀出一条生路！,找到通往下一層關卡的暗門，並在怪物變得更強大前，使出渾身解數逃出去！
fireNoun3,,,Fire,Feuer,Fuego,Feu,ファイアー,불,Fogo,火,火
,,,First Trip Downstairs,Erster Trip nach unten,First Trip Downstairs,1er voyage en bas,初めて階段を下りた,첫 지하 모험,Primeira Viagem no Andar de Baixo,初次探索,首次過關
fireNoun2,,,Flame,Flamme,Flame,Flammes,フレイム,화염,Chama,火焰,火焰
fireAdjectiveFP2,,female plural,Flaming,Flammende,Flaming,flamboyantes,ごうごうと燃える,화염의,Flamejantes,燃烧,燃燒
fireAdjectiveFS2,,female singular,Flaming,Flammender,Flaming,flamboyant,,화염의,Flamejante,燃烧,燃燒
willNoun1,,,Focus,Fokus,Focus,Concentration,集中,집중,Foco,专注,專注力
HighLevelServerDesc,,,"For experienced Dungeon Lifers, levels {minlevel:int} to {maxlevel:int}.","Für erfahrene Dungeon-Life-Spieler, Levels {minlevel:int} bis {maxlevel:int}",,"Pour les joueurs pro de Dungeon Life, niveaux {minlevel:int} à {maxlevel:int}.",,Dungeon Life를 어느 정도 플레이한 이들을 위한 레벨 {minlevel:int}부터 {maxlevel:int}.,"Para Jogadores Experiêntes em Dungeon Life, do Nível {minlevel:int} até {maxlevel:int}",给熟悉《Dungeon Life》的玩家，等级 {minlevel:int} 到 {maxlevel:int}。,給熟悉 Dungeon Life 的玩家，等級 {minlevel:int} 到 {maxlevel:int}。
BeginnerServerDesc,,,"For players new to Dungeon Life, levels {minlevel:int} to {maxlevel:int}.","Für neue Spieler im Dungeon Life, Levels {minlevel:int} bis {maxlevel:int}.",,"Pour les nouveaux joueurs de Dungeon Life, niveau {minlevel:int} à {maxlevel:int}.",,Dungeon Life가 처음인 플레이어를 위한 레벨 {minlevel:int}에서 {maxlevel:int}.,"Para jogadores novos ao Dungeon Life, do Nível {minlevel:int} até {maxlevel:int}",给刚开始玩《Dungeon Life》的玩家，等级为 {minlevel:int} 到 {maxlevel:int}。,給剛開始玩 Dungeon Life 的玩家，等級 {minlevel:int} 到 {maxlevel:int}。
Fountain,,,Fountain,Brunnen,Fuente,Fontaine,噴水,분수,Fonte,喷泉,噴水池
coldAdjectiveFP3,,female plural,Freezing,Gefrierende,Freezing,gelées,凍りつく,차디찬,Congelantes,冷冻,寒冰
coldAdjectiveFS3,,female singular,Freezing,Gefrierender,Freezing,gelé,,차디찬,Congelante,冷冻,寒冰
coldNoun2,,,Frost,Frost,Frost,Gel,フロスト,서리,Congelado,冰霜,冰霜
,,,FurnishPower,,,,,,,,
GargoyleFountain,,,Gargoyle Fountain,Gargoyle-Brunnen,Gargoyle Fountain,Fontaine gargouille,ガーゴイルの泉,가고일 분수,Fonte de Gárgula,石像鬼喷泉,石像鬼噴水池
Gate,,,Gate,Tor,Gate,Grille,ゲート,문,Portão,大门,閘門
,,As in armor and weapons,Gear,Ausrüstung,Equipamiento,Équipement,ギア,장비,Equipamento,装备,裝備
,,,Gear Shop,,,,,,,,
GearSlots,,Spaces in a hero's inventory for gear,Gear Slots,Ausrüstungsplätze,Gear Slots,Emplacements équipement,ギアスロット,장비 슬롯,Espaço de Equipamentos,装备槽,裝備欄位
Ghost,,,Ghost,Geist,Ghost,Fantôme,ゴースト,유령,Fantasma,鬼魂,鬼魂
SpawnGhost,,,Ghost's Coffin,Geistersarg,Ghost's Coffin,Cercueil de fantôme,ゴーストの棺桶,유령의 관,Caixão de Fantasma,幽冥之棺,聚魂棺
HammerWooden,,,Giant Mallet,Riesenschlägel,,Marteau géant,,거대한 망치,,巨槌,大槌
strNoun4,,,Giant Strength,Riesenstärke,Giant Strength,Force du géant,巨大な力,괴력,Força Gigante,巨人之力,巨人之力
AltarDescription,,,Gives you Dungeon Points when you build it,"Verleiht Dungeon-Punkte, wenn du ihn baust",Gives you Dungeon Points when you build it,Sa construction t'apporte des points de donjon.,ビルドするとダンジョンポイントが手に入る,제작하면 던전 포인트를 받을 수 있습니다,Te dá Pontos de Dungeon quando construído,建造完成后可获得地下城积分,建造後可獲得地城點數
BarrelDescription,,,Gives you Dungeon Points when you build it,"Verleiht Dungeon-Punkte, wenn du ihn baust",Gives you Dungeon Points when you build it,Sa construction t'apporte des points de donjon,,제작하면 던전 포인트를 받을 수 있습니다,Te dá Pontos de Dungeon quando construído,建造完成后可获得地下城积分,建造後可獲得地城點數
BrazierDescription,,,"Gives you Dungeon Points when you build it

Sheds light","Verleiht Dungeon-Punkte, wenn du sie baust

Spendet Licht","Gives you Dungeon Points when you build it

Sheds light","Sa construction t'apporte des points de donjon.

Éclaire.","ビルドするとダンジョンポイントが手に入る

周りを明るくする","제작하면 던전 포인트를 받을 수 있습니다

빛을 비춥니다","Te dará Pontos de Dungeon quando você Constrói

Candelabros de Luz","建造完成后可获得地下城积分

点亮","建造後可獲得地城點數

照明"
ChandelierIronDescription,,,"Gives you Dungeon Points when you build it

Sheds light","Verleiht Dungeon-Punkte, wenn du ihn baust

Spendet Licht","Gives you Dungeon Points when you build it

Sheds light","Sa construction t'apporte des points de donjon

Éclaire",,"제작하면 던전 포인트를 받을 수 있습니다

빛을 비춥니다","Te dará Pontos de Dungeon quando você Constrói

Candelabros de Luz","建造完成后可获得地下城积分

点亮","建造後可獲得地城點數

照明"
ChestDescription,,,Gives you a lot of Dungeon Points when you build it but when a hero finds it they'll get loot,"Verleiht eine Menge Dungeon-Punkte, wenn du sie baust. Aber wenn Helden sie finden, erhalten sie Beute",Gives you a lot of Dungeon Points when you build it but when a hero finds it they'll get loot,"Sa construction t'apporte de nombreux points de donjon, mais si un héros le trouve, il le pillera!",ビルドするとダンジョンポイントがたくさん手に入る。けれどヒーローが見つけると、中身を取られてしまう。,제작하면 많은 던전 포인트를 받을 수 있습니다. 하지만 영웅이 찾아내 약탈할 수 있습니다,"Te dará um monte de Pontos de Dungeon quando você construir, mas quando os Heróis acharem eles irão pegar Itens",建造完成后可获得大量地下城积分，但当有英雄找到它之后，可获得战利品。,建造後可獲得大量地城點數，但如果被英雄找到，他們將獲得戰利品
Gloom,,as in dark and hard to see,Gloom,Düster,Gloom,Lugubre,暗闇,암흑,Escuro,幽暗,幽暗
,,,Gold,,,,,,,,
TutorialTreasureChests,,,"Good work! Although if a hero opens a Treasure Chest they'll get loot, building them gets you Rubies and Dungeon Points which you can use to make traps, monster spawns, and bosses - so it's worth it.","Gut gemacht! Auch wenn ein Held beim Öffnen einer Schatztruhe Beute erhält, bekommst du fürs Bauen Rubine und Dungeon-Punkte. Damit kannst Fallen, Monster-Spawns und Bosse erstellen. Es zahlt sich also aus.","Good work! Although if a hero opens a Treasure Chest they'll get loot, building them gets you Rubies and Dungeon Points which you can use to make traps, monster spawns, and bosses - so it's worth it.","Bien joué! Même si un héros ouvre un coffre au trésor pour le piller, le fait d'en créer t'apporte des rubis et des points de donjon que tu peux utiliser pour placer des pièges et faire apparaître des monstres et des boss. Ça vaut donc le coup!",オッケー！宝箱は、ヒーローが開けると中身を取られてしまう。だけど宝箱をビルドすると、ルビーやダンジョンポイントをもらえるんだ。ルビーやダンジョンポイントがあれば、他のトラップや、モンスターのスポーン場所やボスを作れるようになる。だから宝箱をビルドするのも、ちゃんと意味があるんだ。,"잘했어요! 영웅이 보물상자를 열면 약탈당할 수도 있지만요. 제작하면 루비와 던전 포인트를 받을 수 있어요. 던전 포인트는 덫, 몬스터 생성 지점, 보스를 만드는데 사용할 수 있습니다. 아주 쓸모가 많죠.","Bom Trabalho! Porém, se um Herói abrir um Baú de Tesouro eles irão pegar os itens construir estes te dará Rubis e Pontos de Dungeon dos quais podem ser usados pra fazer armadilhas, invocadores de monstros e chefões - então vale a pena",干得漂亮！虽然英雄打开一个宝箱时可获得战利品，但是建造他们时你也可以获得红宝石和地下城积分，你可以将之用于制造陷阱、怪物巢穴和各种Boss——也是物有所值,做得好！雖然英雄若開啟寶箱將能獲得戰利品，但建造寶箱你也能獲得紅寶石和地城點數，可用來購買陷阱、怪物重生點和魔王，因此建造寶箱是值得的。
Great Axe,,,Great Axe,Großaxt,Great Axe,Grande hache,グレートアックス,거대 도끼,Machado Grande,巨斧,巨斧
Great Sword,,,Great Sword,Großschwert,Great Sword,Glaive,グレートソード,대검,Espada Grande,大剑,巨劍
Gremlin,,,Gremlin,Gremlin,Gremlin,Diablotin,グレムリン,그렘린,Gremlin,小精灵,小魔怪
SpawnGremlin,,,Gremlin Faerie Circle,Gremlin-Feen-Zirkel,Gremlin Faerie Circle,Cercle féerique gremlin,,그렘린 요정계,Círculo de Fadas de Gremlins,精灵圆环,小魔怪妖精環
HealthLow,,,HEALTH LOW,LEBEN NIEDRIG,HEALTH LOW,SANTÉ BASSE,HPが減ってきた！,체력 낮음,Vida Baixa,生命值过低,生命值過低
conAdjectiveFP1,," 'hale' as in hardy, healthy - female plural",Hale,Gesunde,Hale,robustes,元気な,왕성한,Robustas,健壮的,強健
conAdjectiveFS1,," 'hale' as in hardy, healthy - female singular",Hale,Gesunder,Hale,robuste,,왕성한,Robusto,健壮的,強健
Half Helm,,,Half Helm,Halbhelm,Half Helm,Casque léger,,반 투구,Meio Leme,半盔,半罩頭盔
Ice Halls,,,Halls of Ice,Eishallen,,Couloir de glace,,아이스 홀,,寒冰大厅,寒冰殿堂
MageDescription,,,Hard to play! Uses powerful spells...until their magic runs out,Schwer zu spielen! Wirkt mächtige Zauber ... bis die Zauberkraft zur Neige geht,Hard to play! Uses powerful spells...until their magic runs out,Difficile à incarner! Utilise des sorts puissants... jusqu'à ce que sa magie s'épuise.,最初は使いにくいかも！魔力が切れるまでは、すごい魔法を使えるよ。,플레이가 어렵습니다! 강력한 주문을 사용합니다...마력이 떨어지기 전까지는요,Dificil de jogar! Use fortes Encantos...até que sua Magia acabe,觉得很难通关！那就是试试强力的法术……直到他们把魔力耗尽,太困難了！使用強力的法術，讓他們的魔力耗盡
Haste Wisp,,,Haste Wisp,Eile-Irrlicht,,Sort de vitesse,,스피드 정령,,神速精灵,神速精靈
SkinTypeHat,,,Hat,Hut,Hat,Chapeau,ハット,모자,Chapéu,帽子,帽子
Hatchet,,,Hatchet,Beil,Hatchet,Hachette,まさかり,손도끼,Machadinha,短柄斧,手斧
dexAdjectiveFP3,,female plural,Hawk Eye,Scharfsichtige,Hawk Eye,d'œil de lynx,ホークアイ,매의 눈,Olho de Falcão,雕眼,隼目
dexAdjectiveFS3,,female singular,Hawk Eye,Scharfsichtiger,Hawk Eye,Œil de lynx,,매의 눈,Olho de Falcão,雕眼,隼目
Heal Spell,,,Heal Spell,Heilzauber,Heal Spell,Sort de soin,回復魔法,치료 주문,Encanto de Cura,治疗法术,治療法術
Healing Potion,,,Healing Potion,Heiltrank,Healing Potion,Potion de soin,回復ポーション,치료 물약,Poção de Regeneração,治疗药水,治療藥水
Healing Wisp,,,Healing Wisp,Heilendes Irrlicht,,Sort de guérison,,치유의 정령,,治愈精灵,治癒精靈
HealingDescription,,Heals 40,Heals {1:int},Heilt {1:int},Heals {1:int},Soigne {1:int},{1:int}回復,{1:int} 치료,Regenera {1:int},回复{1:int},治療 {1:int} 生命值
,,,Health,Leben,Salud,Santé,体力,체력,Saúde,生命值,生命值
SkinTypeArmorHeavyTorso,,,Heavy Chest Armor,Schwere Brustrüstung,Heavy Chest Armor,Plastron lourd,チェストアーマー（ヘビー）,중량 가슴 갑옷,Armadura de Peitoral Pesada,重型胸甲,重型胸甲
Heavy Crossbow,,,Heavy Crossbow,Schwere Armbrust,Heavy Crossbow,Arbalète lourde,クロスボウ（ヘビー）,중량 석궁,Besta Pesada,重型十字弓,重型十字弓
SkinTypeArmorHeavyLegs,,,Heavy Leg Armor,Schwere Beinrüstung,Heavy Leg Armor,Jambière lourde,レッグアーマー（ヘビー）,중량 다리 갑옷,Armadura de Perna Pesada,重型腿甲,重型腿甲
SkinTypeHelmet,,,Helmet,Helm,Helmet,Casque,ヘルメット,투구,Capacete,头盔,頭盔
HelmetAlar,,,Helmet of Alar,Helm von Alar,Helmet of Alar,Casque d'Alar,翼の生えたヘルメット,날개 투구,Capacete de Alar,阿拉尔之盔,雙翼頭盔
,,,Hero,Held,Hero,Héros,ヒーロー,영웅,Herói,英雄,英雄
HeroDeaths,,,Hero Deaths,Heldentode,Hero Deaths,Morts de héros,ヒーロー... ゲームオーバー！,영웅 사망,Mortes de Herói,英雄阵亡次数,英雄死亡次數
HeroExpress,,a thing you can buy that lets you be a hero immediately instead of waiting your turn,Hero Express,Expressheld,Hero Express,Héros express,ヒーローエクスプレス,영웅 이용권,Expresso de Herói,英雄速递,英雄變身券
,,,Hero Express Ready,Expressheld bereit,Hero Express Ready,Héros express prêt,ヒーローエクスプレス、準備OK！,영웅 이용권 준비,Expresso de Herói Preparado,英雄速递已就绪,英雄變身券已可使用
HeroKills,,,Hero Kills,Helden-Kills,Hero Kills,Victimes de héros,倒したヒーロー,잡은 영웅,Mortes de Herói,英雄杀敌数,英雄擊殺數
,,heading above a list of weapon and armor skins you can apply to your hero,Hero Skins,Helden-Skins,Hero Skins,Skins de héros,ヒーローのスキン,영웅 스킨,Aparências de Herói,英雄皮肤,英雄外觀
HeroSlots,,The number of heroes a player can have,Hero Slots,Heldenplätze,Hero Slots,Emplacements de héros,ヒーロースロット,영웅 슬롯,Espaços de Herói,英雄卡槽,英雄欄位
HeroUnlocked,,,Hero Unlocked,,Héroe desbloqueado,,,,,,
,,,Heroes,,,,,,,,
,,Whether a piece of the player's equipment will be displayed on their avatar or not,Hide In Game,Im Spiel verbergen,Hide In Game,Masquer dans le jeu,ゲーム中は隠す,게임에서 숨기기,Esconder no Jogo,在游戏中隐藏,在遊戲中隱藏
,,,Hide Roblox Accessories,Roblox-Zubehör verbergen,Hide Roblox Accessories,Masquer accessoires Roblox,Robloxのアクセサリーは隠す,Roblox 액세서리 숨기기,Esconder Acessórios do Roblox,隐藏Roblox组件,隱藏 Roblox 飾品
,,,Hide Roblox Accessories When This Monster,Als dieses Monster Roblox-Zubehör verbergen,Hide Roblox Accessories When This Monster,Masquer accessoires Roblox avec ce monstre,このモンスターの時、Robloxのアクセサリーは隠す,Roblox 액세서리 숨기기,Esconda os Acessórios quando esse Monstro,隐藏Roblox组件当这个怪物,成為這隻怪物時隱藏 Roblox 飾品
HighLevelServer,,,High Level Server,Hohes-Level-Server,,Serveur haut niveau,,하이 레벨 서버,Servidor de Nível Alto,高端服务器,高端伺服器
